week_start,week_end,keyword,weekly_video_mentions,weekly_views,weekly_likes,weekly_comments,weekly_api_hits,top_channels_week
2025-08-08,2025-08-14,chamisul,1.0,1589.0,40.0,3.0,3,MeTime
2025-08-08,2025-08-14,buldak,326.0,37781952.0,1250271.0,18181.0,331,Pushpek Sidhu;IamfromKorea;하이푸디 HiFoodie
2025-08-08,2025-08-14,samyang,268.0,10193656.0,224779.0,4173.0,291,Jessica Effendy;tanboy kun;KeiKei
2025-08-08,2025-08-14,shin ramen,44.0,2016660.0,8562.0,284.0,230,irene kim 김예린;Delicious Miniature;CHAMLING
2025-08-08,2025-08-14,nongshim,77.0,2753784.0,21846.0,388.0,100,LCK Global;N.E Let's Eat;Kaza LoL LCS Highlights
2025-08-08,2025-08-14,shin ramyun,77.0,303096.0,8127.0,255.0,226,N.E Let's Eat;Yiz;Yuri
2025-08-08,2025-08-14,chum churum,3.0,161.0,7.0,6.0,3,Ale Degustation;Ale Degustacja;Chum Churum Official
2025-08-08,2025-08-14,jin ramen,43.0,120102.0,4657.0,94.0,201,NomBom;BLACKPINK News Facts;EIKEIKEAT
2025-08-08,2025-08-14,pulmuone,0.0,0.0,0.0,0.0,4,
2025-08-08,2025-08-14,bibigo,26.0,577304.0,1179.0,30.0,37,"Gastronusa;Ms. Ming, Ph.D.;Michelle Park"
